id_transaccion,id_cliente,monto,fecha,id_tienda,_id,nombre,genero,edad,localizacion,ingresos,gastos_mensuales,puntos_lealtad,preferencias_producto,segmento_cliente,ratio_gasto_ingreso,monto_por_edad,nivel_lealtad,ingreso_anual_estimado,ahorro_estimado,indice_consumo,score_financiero,comportamiento_1,comportamiento_2,comportamiento_3,comportamiento_4,comportamiento_5,comportamiento_6,comportamiento_7,comportamiento_8,comportamiento_9,comportamiento_10,PCA_1,PCA_2,PCA_3
1,195,1446.03,2023-04-04,78,{'$oid': '69fd6ef6476e52befdc839f6'},Sr(a). Emilio Yáñez,Prefiere no decir,59,"{'ciudad': 'Tijuan', 'estado': 'Baja Californa'}",301387.17,251728.59,235668,"['BELLEZA', 'belleza', 'hogar y cocina', 'Deportes', 'ropa y calzado']",Estándar,0.8352304936189101,24.1005,235.668,3616646.04,49658.57999999999,253174.62,197827.185,52,70,72,55,93,75,87,72,74,84,0.729986399152619,-0.6294662903780732,0.28804921821804347
2,387,1722.8,2022-09-13,74,{'$oid': '69fd6ef6476e52befdc83ab6'},José Eduardo Narváez,No binario,35,"{'ciudad': 'Celay', 'estado': 'Guanajuato'}",241180.72,30765.49,123104,"['HOGAR Y COCINA', 'Belleza']",Estándar,0.1275614503454076,47.855555555555554,123.104,2894168.64,210415.23,32488.29,145211.16,93,65,33,95,29,86,92,49,27,37,0.020044868541950978,-0.27754759646152166,-0.7589264330407336
3,949,4026.44,2023-06-16,20,{'$oid': '69fd6ef6476e52befdc83ce8'},Ing. Alberto Carbajal,Masculino,68,"{'ciudad': 'Cuernavaca', 'estado': 'Morels'}",173486.58,153810.79,19835,"['Electrónica', 'HOGAR Y COCINA', 'ROPA Y CALZADO', 'ELECTRÓNICA', 'Ropa y Calzado']",Estándar,0.8865809875266,58.354202898550724,19.835,2081838.96,19675.78999999998,157837.23,90710.29,15,4,23,65,22,73,11,96,51,84,-0.08723951607881308,-0.9136679576141149,0.2363110618748559
4,60,2056.83,2022-07-23,19,{'$oid': '69fd6ef6476e52befdc8396f'},Clara Montemayor Chávez,Masculino,51,"{'ciudad': 'La Paz', 'estado': 'Baja California Sur'}",49011.55,19419.44,651247,"['Electrónica', 'BELLEZA', 'Hogar y Cocina', 'deportes', 'hogar y cocina']",Estándar,0.39621362283741607,39.55442307692307,651.247,588138.6000000001,29592.110000000004,21476.269999999997,154755.17500000002,72,11,77,81,73,29,14,23,57,66,-0.449125948445136,0.6002514245043447,0.24173581283557138
5,914,5492.69,2020-09-27,58,{'$oid': '69fd6ef6476e52befdc83cc5'},Ángela Gilberto Garrido Rodarte,Masculino,78,"{'ciudad': 'La Paz', 'estado': 'Baja California Sur'}",317964.34,249108.37,700329,"['electrónica', 'Deportes', 'ropa y calzado', 'deportes']",Estándar,0.7834450446705921,69.52772151898733,700.329,3815572.08,68855.97000000003,254601.06,299047.97000000003,61,26,54,16,88,43,13,69,79,14,1.0772018076986056,0.19674734537889987,0.5213784946732218
6,117,2521.51,2022-11-05,6,{'$oid': '69fd6ef6476e52befdc839a8'},Ing. Óliver Solano,Prefiere no decir,75,"{'ciudad': 'Hermosillo', 'estado': 'Sonora'}",250931.76,89513.46,472079,"['Belleza', 'Ropa y Calzado']",Estándar,0.35672289261872386,33.17776315789474,472.079,3011181.12,161418.3,92034.97,219881.68,21,61,53,37,19,74,88,95,79,17,0.35984889922733565,0.1464955774978886,-0.25349265040867314
7,214,2537.47,2021-08-14,17,{'$oid': '69fd6ef6476e52befdc83a09'},Ing. Liliana Jáquez,Masculino,35,"{'ciudad': 'Monterrey', 'estado': 'Nuevo Leon'}",182732.49,56969.0,293491,"['ropa y calzado', 'ELECTRÓNICA']",Estándar,0.31176003916961254,70.48527777777777,293.491,2192789.88,125763.48999999999,59506.47,150064.445,83,37,49,52,38,34,80,29,37,88,-0.05038830469057354,-0.047768799712442245,-0.27267152108708487
8,330,3512.49,2023-11-12,30,{'$oid': '69fd6ef6476e52befdc83a7d'},Isabela Rosa Carvajal,Prefiere no decir,21,"{'ciudad': 'Merida', 'estado': 'Yucatán'}",8740.14,5920.28,418441,"['DEPORTES', 'Deportes']",Premium Joven,0.6772892322969315,159.65863636363636,418.441,104881.68,2819.8599999999997,9432.77,88058.27000000002,87,23,78,10,95,31,28,6,99,94,-0.7187332418580805,0.1899555164071653,0.3772139581656288
9,274,2646.9,2021-10-27,59,{'$oid': '69fd6ef6476e52befdc83a45'},Tania Wilfrido Treviño,Masculino,54,"{'ciudad': 'La Paz', 'estado': 'Baja California Sur'}",129261.7,39854.71,564780,"['BELLEZA', 'belleza']",Estándar,0.30832336010310785,48.125454545454545,564.78,1551140.4,89406.98999999999,42501.61,177586.85,75,93,78,38,39,86,94,52,3,15,-0.15204686598550476,0.4323348381173506,-0.03438442395625174
10,1066,2111.17,2023-04-06,19,{'$oid': '69fd6ef6476e52befdc83d5d'},Sr(a). María del Carmen Sierra,Masculino,49,"{'ciudad': 'Oaxaca', 'estado': 'Oaxaka'}",312785.85,205019.75,664728,"['belleza', 'Ropa y Calzado']",Estándar,0.6554615387443559,42.2234,664.728,3753430.1999999997,107766.09999999998,207130.92,289338.525,75,85,80,44,15,46,44,89,29,61,0.9596521743491142,0.2475328099159098,0.2757529298979576
11,268,2572.5,2023-12-20,48,{'$oid': '69fd6ef6476e52befdc83a3f'},Patricia Espino Báez,Femenino,49,"{'ciudad': 'Villahermosa', 'estado': 'Tabasco'}",258267.94,77297.39,676838,"['ELECTRÓNICA', 'ROPA Y CALZADO', 'hogar y cocina', 'electrónica']",Estándar,0.29929030567903364,51.45,676.838,3099215.2800000003,180970.55,79869.89,264501.57,88,91,49,95,54,4,63,89,68,49,0.5177791430778997,0.570630177081012,-0.22322740850172268
12,294,2842.41,2020-09-26,25,{'$oid': '69fd6ef6476e52befdc83a59'},Delia Segovia Cintrón,Masculino,27,"{'ciudad': 'Campeche', 'estado': 'Campeche '}",37096.41,7916.87,85190,"['deportes', 'Belleza', 'DEPORTES', 'Electrónica']",Premium Joven,0.21340762063982363,101.51464285714285,85.19,445156.92000000004,29179.540000000005,10759.279999999999,35586.205,24,40,60,74,32,2,61,95,47,98,-0.8745146038511397,-0.3161267370530926,-0.28604313168027595
13,447,5161.46,2020-12-15,6,{'$oid': '69fd6ef6476e52befdc83af2'},Isabela Muñiz,Femenino,26,"{'ciudad': 'Tapachla', 'estado': 'Chiapas'}",179129.99,66998.73,75919,"['ROPA Y CALZADO', 'HOGAR Y COCINA', 'electrónica', 'Hogar y Cocina']",Premium Joven,0.3740208771246114,191.16518518518518,75.919,2149559.88,112131.26,72160.19,104748.795,3,77,90,54,46,5,91,14,80,8,-0.16214061494309828,-0.44466758370121506,-0.3443159153355668
14,1196,1971.32,2022-08-03,65,{'$oid': '69fd6ef6476e52befdc83ddf'},Lic. Karla Orta,Femenino,62,"{'ciudad': 'Morel', 'estado': 'Michoacán'}",32598.69,30168.56,233211,"['Hogar y Cocina', 'ropa y calzado', 'Deportes', 'Belleza', 'electrónica']",Estándar,0.9254247509715584,31.29079365079365,233.211,391184.27999999997,2430.1299999999974,32139.88,62941.545000000006,22,23,90,98,61,46,17,17,69,3,-0.7129784167045383,-0.3313340083989654,0.40833298249698186
15,621,494.21,2021-05-17,20,{'$oid': '69fd6ef6476e52befdc83ba0'},Gabriel Joaquín Magaña,No binario,54,"{'ciudad': 'Villaermosa', 'estado': 'Tabazco'}",133587.4,58915.23,198906,"['ELECTRÓNICA', 'ropa y calzado', 'DEPORTES', 'Hogar y Cocina', 'Ropa y Calzado']",Estándar,0.441020552682718,8.985636363636363,198.906,1603048.7999999998,74672.16999999998,59409.44,106574.9,53,16,65,51,93,79,50,80,21,75,-0.3247442597883349,-0.2779483846004465,-0.14707449910671877
16,877,6532.42,2021-05-28,60,{'$oid': '69fd6ef6476e52befdc83ca0'},Mtro. Jacinto Pizarro,No binario,63,"{'ciudad': 'Cancún', 'estado': 'Q Roo'}",274823.21,178333.72,377388,"['Deportes', 'ELECTRÓNICA']",Estándar,0.6489010556966578,102.0690625,377.388,3297878.5200000005,96489.49000000002,184866.14,212889.20500000002,2,94,32,52,52,19,26,28,42,27,0.5872831136785313,-0.22560437953226867,0.11969670477438848
17,877,7797.59,2023-10-08,61,{'$oid': '69fd6ef6476e52befdc83ca0'},Mtro. Jacinto Pizarro,No binario,63,"{'ciudad': 'Cancún', 'estado': 'Q Roo'}",274823.21,178333.72,377388,"['Deportes', 'ELECTRÓNICA']",Estándar,0.6489010556966578,121.83734375,377.388,3297878.5200000005,96489.49000000002,186131.31,212889.20500000002,88,61,79,70,34,38,7,9,21,9,0.5957964499800388,-0.2321716196189031,0.15684245125904234
18,211,5296.03,2020-04-25,44,{'$oid': '69fd6ef6476e52befdc83a06'},Sr(a). Abigail Zarate,No binario,78,"{'ciudad': 'Mazatlán', 'estado': 'Sinaloa'}",320591.12,155360.86,236618,"['Electrónica', 'Hogar y Cocina', 'BELLEZA', 'Ropa y Calzado']",Estándar,0.48460598470105876,67.03835443037974,236.618,3847093.44,165230.26,160656.88999999998,207619.16,30,68,21,92,73,59,99,66,2,15,0.6278396692576331,-0.4104899367913161,-0.2972516374446825
19,146,2837.98,2021-08-12,51,{'$oid': '69fd6ef6476e52befdc839c5'},Jaime Felipe Pantoja,Femenino,82,"{'ciudad': 'Aguascalientes', 'estado': 'Aguascalientes'}",89220.21,2439.2,73412,"['BELLEZA', 'DEPORTES', 'Belleza', 'hogar y cocina']",Estándar,0.027338790854775447,34.192530120481926,73.412,1070642.52,86781.01000000001,5277.18,59292.505000000005,38,80,18,92,35,79,79,4,78,32,-0.7312965392866524,-0.3493554172198633,-0.5368726714752868
20,267,5884.77,2020-06-30,41,{'$oid': '69fd6ef6476e52befdc83a3e'},Silvia Nadia Zúñiga,Prefiere no decir,32,"{'ciudad': 'Monterrey', 'estado': 'Nuevo León'}",244445.46,33527.35,123053,"['hogar y cocina', 'belleza', 'DEPORTES', 'ROPA Y CALZADO']",Estándar,0.13715620999379577,178.32636363636365,123.053,2933345.52,210918.11,39412.119999999995,146833.33,2,31,94,59,70,72,16,20,69,11,0.05507192876412992,-0.2542576572216887,-0.7481626396568377
21,931,4604.03,2021-09-05,20,{'$oid': '69fd6ef6476e52befdc83cd6'},Dulce María Silvia Adame Jaramillo,Masculino,32,"{'ciudad': 'Pue', 'estado': 'Puebla'}",338357.6,165525.23,139038,['ropa y calzado'],Estándar,0.4892005996005422,139.5160606060606,139.038,4060291.1999999997,172832.36999999997,170129.26,196986.4,64,53,60,13,37,20,85,41,7,3,0.6954350873397317,-0.5270982181564965,-0.3283715792632524
22,199,1673.7,2020-06-08,57,{'$oid': '69fd6ef6476e52befdc839fa'},Ramiro Malave,Masculino,73,"{'ciudad': 'Zacatecas', 'estado': 'Zacatecas'}",42313.9,37241.46,685528,"['hogar y cocina', 'Belleza', 'DEPORTES', 'Ropa y Calzado']",Estándar,0.8801027534036474,22.61756756756757,685.528,507766.80000000005,5072.440000000002,38915.159999999996,158262.55000000002,60,25,13,41,78,76,17,36,75,26,-0.39764172961025634,0.4682572749846681,0.6678543066431271
