id_transaccion,id_cliente,monto,fecha,id_tienda,_id,nombre,genero,edad,ingresos,gastos_mensuales,puntos_lealtad,preferencias_producto,ciudad,estado
1,195,1446.03,04/04/2023,78,{'$oid': '69fd6ef6476e52befdc839f6'},Sr(a). Emilio Yáñez,Prefiere no decir,59,301387.17,251728.59,235668,"['BELLEZA', 'belleza', 'hogar y cocina', 'Deportes', 'ropa y calzado']",Tijuan,Baja California
2,387,1722.8,09-13-2022,74,{'$oid': '69fd6ef6476e52befdc83ab6'},José Eduardo Narváez,No binario,35,241180.72,30765.49,123104,"['HOGAR Y COCINA', 'Belleza']",Celay,Guanajuato
3,949,4026.44,2023-06-16,20,{'$oid': '69fd6ef6476e52befdc83ce8'},Ing. Alberto Carbajal,Masculino,68,173486.58,153810.79,19835,"['Electrónica', 'HOGAR Y COCINA', 'ROPA Y CALZADO', 'ELECTRÓNICA', 'Ropa y Calzado']",Cuernavaca,Morelos
4,60,2056.83,2022-07-23,19,{'$oid': '69fd6ef6476e52befdc8396f'},Clara Montemayor Chávez,Masculino,51,49011.55,19419.44,651247,"['Electrónica', 'BELLEZA', 'Hogar y Cocina', 'deportes', 'hogar y cocina']",La Paz,Baja California Sur
5,914,5492.69,27/09/2020,58,{'$oid': '69fd6ef6476e52befdc83cc5'},Ángela Gilberto Garrido Rodarte,Masculino,78,317964.34,249108.37,700329,"['electrónica', 'Deportes', 'ropa y calzado', 'deportes']",La Paz,Baja California Sur
6,117,2521.51,05-11-2022,6,{'$oid': '69fd6ef6476e52befdc839a8'},Ing. Óliver Solano,Prefiere no decir,75,250931.76,89513.46,472079,"['Belleza', 'Ropa y Calzado']",Hermosillo,Sonora
7,214,2537.47,14/08/2021,17,{'$oid': '69fd6ef6476e52befdc83a09'},Ing. Liliana Jáquez,Masculino,35,182732.49,56969.0,293491,"['ropa y calzado', 'ELECTRÓNICA']",Monterrey,Nuevo León
8,330,3512.49,12-11-2023,30,{'$oid': '69fd6ef6476e52befdc83a7d'},Isabela Rosa Carvajal,Prefiere no decir,21,8740.14,5920.28,418441,"['DEPORTES', 'Deportes']",Mérida,Yucatán
9,274,2646.9,2021-10-27,59,{'$oid': '69fd6ef6476e52befdc83a45'},Tania Wilfrido Treviño,Masculino,54,129261.7,39854.71,564780,"['BELLEZA', 'belleza']",La Paz,Baja California Sur
10,1066,2111.17,2023-06-04,19,{'$oid': '69fd6ef6476e52befdc83d5d'},Sr(a). María del Carmen Sierra,Masculino,49,312785.85,205019.75,664728,"['belleza', 'Ropa y Calzado']",Oaxaca,Oaxaca
11,268,2572.5,12-20-2023,48,{'$oid': '69fd6ef6476e52befdc83a3f'},Patricia Espino Báez,Femenino,49,258267.94,77297.39,676838,"['ELECTRÓNICA', 'ROPA Y CALZADO', 'hogar y cocina', 'electrónica']",Villahermosa,Tabasco
12,294,2842.41,2020-09-26,25,{'$oid': '69fd6ef6476e52befdc83a59'},Delia Segovia Cintrón,Masculino,27,37096.41,7916.87,85190,"['deportes', 'Belleza', 'DEPORTES', 'Electrónica']",Campeche,Campeche
13,447,5161.46,15/12/2020,6,{'$oid': '69fd6ef6476e52befdc83af2'},Isabela Muñiz,Femenino,26,179129.99,66998.73,75919,"['ROPA Y CALZADO', 'HOGAR Y COCINA', 'electrónica', 'Hogar y Cocina']",Tapachla,Chiapas
14,1196,1971.32,03/08/2022,65,{'$oid': '69fd6ef6476e52befdc83ddf'},Lic. Karla Orta,Femenino,62,32598.69,30168.56,233211,"['Hogar y Cocina', 'ropa y calzado', 'Deportes', 'Belleza', 'electrónica']",Morelia,Michoacán
15,621,494.21,05-17-2021,20,{'$oid': '69fd6ef6476e52befdc83ba0'},Gabriel Joaquín Magaña,No binario,54,133587.4,58915.23,198906,"['ELECTRÓNICA', 'ropa y calzado', 'DEPORTES', 'Hogar y Cocina', 'Ropa y Calzado']",Villahermosa,Tabasco
16,877,6532.42,05-28-2021,60,{'$oid': '69fd6ef6476e52befdc83ca0'},Mtro. Jacinto Pizarro,No binario,63,274823.21,178333.72,377388,"['Deportes', 'ELECTRÓNICA']",Cancún,Quintana Roo
17,877,7797.59,"Oct 08, 2023",61,{'$oid': '69fd6ef6476e52befdc83ca0'},Mtro. Jacinto Pizarro,No binario,63,274823.21,178333.72,377388,"['Deportes', 'ELECTRÓNICA']",Cancún,Quintana Roo
18,211,5296.03,2020-04-25,44,{'$oid': '69fd6ef6476e52befdc83a06'},Sr(a). Abigail Zarate,No binario,78,320591.12,155360.86,236618,"['Electrónica', 'Hogar y Cocina', 'BELLEZA', 'Ropa y Calzado']",Mazatlán,Sinaloa
19,146,2837.98,12-08-2021,51,{'$oid': '69fd6ef6476e52befdc839c5'},Jaime Felipe Pantoja,Femenino,82,89220.21,2439.2,73412,"['BELLEZA', 'DEPORTES', 'Belleza', 'hogar y cocina']",Aguascalientes,Aguascalientes
20,267,5884.77,30/06/2020,41,{'$oid': '69fd6ef6476e52befdc83a3e'},Silvia Nadia Zúñiga,Prefiere no decir,32,244445.46,33527.35,123053,"['hogar y cocina', 'belleza', 'DEPORTES', 'ROPA Y CALZADO']",Monterrey,Nuevo León
21,931,4604.03,2021-05-09,20,{'$oid': '69fd6ef6476e52befdc83cd6'},Dulce María Silvia Adame Jaramillo,Masculino,32,338357.6,165525.23,139038,['ropa y calzado'],Puebla,Puebla
22,199,1673.7,2020-08-06,57,{'$oid': '69fd6ef6476e52befdc839fa'},Ramiro Malave,Masculino,73,42313.9,37241.46,685528,"['hogar y cocina', 'Belleza', 'DEPORTES', 'Ropa y Calzado']",Zacatecas,Zacatecas
23,1095,4949.16,10/05/2020,34,{'$oid': '69fd6ef6476e52befdc83d7a'},Alta  Gracia Dávila,Masculino,79,314995.97,271458.0,290623,['Electrónica'],Zacatecas,Zacatecas
24,922,6058.67,2020-08-30,3,{'$oid': '69fd6ef6476e52befdc83ccd'},Margarita Humberto Madrid Granado,Masculino,84,12255.78,10713.47,249683,['deportes'],Toluca,Estado de México
25,821,3115.58,2020-06-17,8,{'$oid': '69fd6ef6476e52befdc83c68'},Ricardo Fuentes,Masculino,52,70836.76,7811.66,463176,"['deportes', 'Hogar y Cocina']",Torreón,Coahuila
26,301,3344.01,2021-06-13,69,{'$oid': '69fd6ef6476e52befdc83a60'},Lic. Uriel Escobar,Masculino,35,185398.34,65047.33,607576,"['BELLEZA', 'ropa y calzado']",Monterrey,Nuevo León
27,241,3386.96,03-10-2020,59,{'$oid': '69fd6ef6476e52befdc83a24'},Dr. Silvia Tejeda,Prefiere no decir,32,4869.2,3062.57,513556,"['Ropa y Calzado', 'deportes', 'BELLEZA', 'ropa y calzado', 'ROPA Y CALZADO']",Chetumal,Quintana Roo
28,930,8435.87,"Jun 14, 2020",70,{'$oid': '69fd6ef6476e52befdc83cd5'},Asunción Daniel Molina,Masculino,74,213660.11,92260.58,467344,"['hogar y cocina', 'ropa y calzado']",Puebla,Puebla
29,1147,1579.44,2020-08-07,11,{'$oid': '69fd6ef6476e52befdc83dae'},Ing. Esparta Jaramillo,No binario,29,156140.52,99017.53,575570,['HOGAR Y COCINA'],Colima,Colima
30,240,6159.25,"Feb 14, 2020",36,{'$oid': '69fd6ef6476e52befdc83a23'},Esperanza Pedro Abreu Almaraz,No binario,28,202382.25,191690.35,498050,['belleza'],Hermosillo,Sonora
31,1106,1916.89,01-31-2022,73,{'$oid': '69fd6ef6476e52befdc83d85'},Sofía Aguilera Sisneros,Prefiere no decir,33,55079.41,25951.39,387138,['belleza'],Tapachul,Chiapas
32,200,6915.09,02/09/2022,62,{'$oid': '69fd6ef6476e52befdc839fb'},Maximiliano Gil Trujillo,Masculino,40,24763.31,5422.04,167692,['DEPORTES'],Morelia,Michoacán
33,14,3336.99,06-08-2022,56,{'$oid': '69fd6ef6476e52befdc83941'},Leonardo Yolanda Gamboa,Masculino,73,180570.82,121435.87,86932,"['Deportes', 'Electrónica', 'DEPORTES', 'hogar y cocina', 'deportes']",Tijuan,Baja California
34,844,5344.05,2023-08-25,22,{'$oid': '69fd6ef6476e52befdc83c7f'},Mtro. Javier Cabán,Prefiere no decir,49,30504.67,24551.48,568302,"['ELECTRÓNICA', 'deportes', 'hogar y cocina', 'ropa y calzado', 'BELLEZA']",Querétaro,Querétaro
